name,description,animal_ids,category_ids,address,longitude,latitude,tel_number,opening_hours,web_site,prefecture_id,id,suggest
CAT'S INN TOKYO,里親募集をしている保護猫カフェです。,2,4,東京都板橋区小豆沢３丁目４−１７,139.696836,35.7781794,03-6312-8391,月曜日: 定休日. 火曜日: 13時00分～19時00分. 水曜日: 13時00分～19時00分. 木曜日: 13時00分～19時00分. 金曜日: 13時00分～19時00分. 土曜日: 13時00分～19時00分. 日曜日: 13時00分～19時00分,http://cats-inn.tokyo/,13,58,
猫カフェもふにゃん,短足ネコ専門という珍しい猫カフェです。東京都練馬区の石神井公園駅南口から2分ほどのところにあります,2,4,東京都練馬区石神井町３丁目２０−２５ サンビレッジ 2F,139.6069533,35.7426394,03-6913-2516,月曜日: 10時00分～20時00分. 火曜日: 10時00分～20時00分. 水曜日: 定休日. 木曜日: 10時00分～20時00分. 金曜日: 10時00分～20時00分. 土曜日: 10時00分～20時00分. 日曜日: 10時00分～20時00分,http://www.mofunyan.com/,13,59,
保護猫カフェCHACHA,里親募集をしている保護猫カフェです,2,4,東京都練馬区練馬１丁目５−７ サンライズビル 地下一階,139.6528814,35.7373172,03-6914-6645,月曜日: 10時00分～20時00分. 火曜日: 10時00分～20時00分. 水曜日: 10時00分～20時00分. 木曜日: 10時00分～20時00分. 金曜日: 10時00分～20時00分. 土曜日: 10時00分～20時00分. 日曜日: 10時00分～20時00分,https://hogonekochacha.com/,13,60,
保護犬カフェ立川店,保護犬とふれあえるカフェです。,1,5,東京都立川市富士見町２丁目１２−７,139.4042592,35.7000367,042-519-3452,月曜日: 12時00分～19時00分. 火曜日: 12時00分～19時00分. 水曜日: 12時00分～19時00分. 木曜日: 12時00分～19時00分. 金曜日: 12時00分～19時00分. 土曜日: 11時00分～19時00分. 日曜日: 11時00分～19時00分,http://twitter.com/hogocafe_tachi,13,62,
猫カフェ MOCHA（モカ）立川店,猫カフェMOCHAの系列店です。,2,4,東京都立川市曙町２丁目１１−２ フロム中武 6階,139.4149687,35.6998615,042-595-8616,月曜日: 10時00分～20時00分. 火曜日: 10時00分～20時00分. 水曜日: 10時00分～20時00分. 木曜日: 10時00分～20時00分. 金曜日: 10時00分～20時00分. 土曜日: 10時00分～20時00分. 日曜日: 10時00分～20時00分,http://catmocha.jp/tachikawa/,13,63,
町田リス園,モルモットとふれあえるほか、リス、ウサギにエサをあげることができます,"3,5,7",1,東京都町田市薬師台１丁目７３３−１,139.4496738,35.5780097,042-734-1001,月曜日: 10時00分～16時00分. 火曜日: 定休日. 水曜日: 10時00分～16時00分. 木曜日: 10時00分～16時00分. 金曜日: 10時00分～16時00分. 土曜日: 10時00分～16時00分. 日曜日: 10時00分～16時00分,http://www.machida-risuen.com/,13,64,
モルモットふれあいコーナー(井の頭自然文化園),モルモットとふれあうことができますが、しばらく休止になっているのでホームページなどをご覧ください,7,1,東京都武蔵野市御殿山１丁目１７−５２,139.5719788,35.70111139999999,,月曜日: 定休日. 火曜日: 9時30分～17時00分. 水曜日: 9時30分～17時00分. 木曜日: 9時30分～17時00分. 金曜日: 9時30分～17時00分. 土曜日: 9時30分～17時00分. 日曜日: 9時30分～17時00分,http://www.tokyo-zoo.net/zoo/ino/,13,65,
多摩動物公園,多摩動物公園内にあるモルモットふれあいコーナーです。しばらく休止していましたが2022年10月からリニューアルし再開するようです,7,1,東京都日野市程久保７丁目１−１,139.4032355,35.6496408,042-591-1611,月曜日: 9時30分～17時00分. 火曜日: 9時30分～17時00分. 水曜日: 定休日. 木曜日: 9時30分～17時00分. 金曜日: 9時30分～17時00分. 土曜日: 9時30分～17時00分. 日曜日: 9時30分～17時00分,https://www.tokyo-zoo.net/topic/topics_detail?kind=news&inst=tama&link_num=27643,13,66,
江戸川区自然動物園,自然動物園内のふれあいコーナーです。長らく休止しているのでホームページをご確認ください,"13,14",1,東京都江戸川区北葛西３丁目２−１,139.8584021,35.6710488,03-3680-0777,月曜日: 定休日. 火曜日: 10時00分～16時30分. 水曜日: 10時00分～16時30分. 木曜日: 10時00分～16時30分. 金曜日: 10時00分～16時30分. 土曜日: 9時30分～16時30分. 日曜日: 9時30分～16時30分,http://edogawa-kankyozaidan.jp/zoo/,13,67,
こども動物園 高島平分園,高島平駅から徒歩5分の小さな動物園です。モルモットやヤギ、ヒツジなど身近な動物とふれあえます。,"7,13,14",1,東京都板橋区高島平８丁目２４−１ 徳丸ヶ原公園内,139.6613223,35.7914461,03-3932-0090,月曜日: 定休日. 火曜日: 10時00分～16時30分. 水曜日: 10時00分～16時30分. 木曜日: 10時00分～16時30分. 金曜日: 10時00分～16時30分. 土曜日: 10時00分～16時30分. 日曜日: 10時00分～16時30分,https://www.city.itabashi.tokyo.jp/bousai/kouen/kouen/doubutsuen/1006625.html,13,68,
ヒノトントンZOO(羽村市動物公園),小さな動物園ですがたくさんの動物がいます。モルモットとふれあうことができたり、ヤギやヒツジにエサをあげる体験ができます,"7,13,14",1,東京都羽村市羽４１２２,139.3288145,35.7673915,042-579-4041,月曜日: 定休日. 火曜日: 9時00分～16時00分. 水曜日: 9時00分～16時00分. 木曜日: 9時00分～16時00分. 金曜日: 9時00分～16時00分. 土曜日: 9時00分～16時00分. 日曜日: 9時00分～16時00分,https://hamurazoo.jp/,13,69,
板橋こども動物園,板橋区役所前駅から徒歩8分の場所にある動物園です。ポニーの乗馬体験ができたり、モルモットとふれあえるコーナーがあります,"7,12",1,東京都板橋区板橋３丁目５０−１ 東板橋公園内,139.7127783,35.7542174,03-3963-8003,月曜日: 定休日. 火曜日: 10時00分～16時30分. 水曜日: 10時00分～16時30分. 木曜日: 10時00分～16時30分. 金曜日: 10時00分～16時30分. 土曜日: 10時00分～16時30分. 日曜日: 10時00分～16時30分,https://www.city.itabashi.tokyo.jp/bousai/kouen/kouen/doubutsuen/1006627.html,13,70,
動物たちが暮らす森 アニミル お台場店,かなりの種類の動物とふれあうことができます。珍しい動物もたくさんいて、時間帯によってふれあえる動物が変わるようです。アヒルやミーアキャット、フェレット、さらにアリクイもいるようです。,"1,2,3,7,8,10,18,40","10,12",東京都港区台場１丁目６−１ デックス東京ビーチシーサイドモール5F,139.7759112,35.6292102,03-6457-1215,月曜日: 12時00分～19時00分. 火曜日: 12時00分～19時00分. 水曜日: 12時00分～19時00分. 木曜日: 定休日. 金曜日: 12時00分～19時00分. 土曜日: 11時00分～19時00分. 日曜日: 11時00分～19時00分,https://animeal.jp/odaiba,13,71,
上千葉砂原公園 ふれあい動物広場,モルモットやヤギとふれあえるほか、ポニー乗馬ができます,"7,12,14",1,東京都葛飾区西亀有１丁目２７−１,139.8410128,35.7578515,03-3690-4460,月曜日: 定休日. 火曜日: 10時00分～15時30分. 水曜日: 10時00分～15時30分. 木曜日: 10時00分～15時30分. 金曜日: 10時00分～15時30分. 土曜日: 10時00分～15時30分. 日曜日: 24 時間営業,https://www.city.katsushika.lg.jp/institution/1000096/1006894.html,13,72,recommend
碑文谷公園 こども動物広場,ふれあいコーナーで動物とふれあうことができます。ポニーの乗馬体験もできます。利用可能時間などはホームページをご確認ください,"1,3,7,12",1,東京都目黒区碑文谷６丁目９−１１,139.6817742,35.6265731,03-5722-9775,月曜日: 6時00分～21時00分. 火曜日: 6時00分～21時00分. 水曜日: 6時00分～21時00分. 木曜日: 6時00分～21時00分. 金曜日: 6時00分～21時00分. 土曜日: 6時00分～21時00分. 日曜日: 6時00分～21時00分,https://www.city.meguro.tokyo.jp/kurashi/sports_koen_yoka/koen/omoshiro/dobutsu_hiroba.html,13,73,
渋谷区立代々木ポニー公園,ポニーの引き馬体験や乗馬、エサやり体験など、ポニーとたくさんふれあえる施設です。,12,1,東京都渋谷区代々木神園町４−１,139.695069,35.6786548,03-3373-9996,月曜日: 定休日. 火曜日: 9時00分～17時00分. 水曜日: 9時00分～17時00分. 木曜日: 9時00分～17時00分. 金曜日: 9時00分～17時00分. 土曜日: 9時00分～17時00分. 日曜日: 9時00分～17時00分,https://www.city.shibuya.tokyo.jp/shisetsu/koen/ponypark.html,13,74,
大島公園 動物園,大島にある動物園です。たくさんの動物がいます。モルモットなどの小動物にふれあえるコーナーがあります,7,1,東京都大島町泉津福重２−２,139.4352522,34.7607596,0499-22-9111,月曜日: 8時30分～17時00分. 火曜日: 8時30分～17時00分. 水曜日: 8時30分～17時00分. 木曜日: 8時30分～17時00分. 金曜日: 8時30分～17時00分. 土曜日: 8時30分～17時00分. 日曜日: 8時30分～17時00分,http://www.soumu.metro.tokyo.jp/11osima/park/www/htdocs/parkindex.html,13,75,
フクロウカフェもふもふ 銀座店(Owlcafe ginza),少人数、時間制でフクロウとふれあえる銀座のフクロウカフェです,10,7,東京都中央区銀座６丁目９−１６,139.7632213,35.6700662,03-6280-6364,月曜日: 12時00分～18時00分. 火曜日: 12時00分～18時00分. 水曜日: 12時00分～18時00分. 木曜日: 12時00分～18時00分. 金曜日: 12時00分～18時00分. 土曜日: 12時00分～18時00分. 日曜日: 12時00分～18時00分,http://mohumohu77.jp/,13,76,
カピねこカフェ吉祥寺,里親募集の保護猫とカピバラにふれあえる珍しい組み合わせの動物カフェです。,"2,8",4,東京都武蔵野市吉祥寺南町１丁目５−１０ PLATANO 2階,139.5789374,35.7025513,0422-26-9388,月曜日: 13時00分～18時30分. 火曜日: 13時00分～18時30分. 水曜日: 13時00分～18時30分. 木曜日: 13時00分～18時30分. 金曜日: 13時00分～18時30分. 土曜日: 11時00分～19時00分. 日曜日: 11時00分～19時00分,https://capyneko.cafe/,13,77,
シマリスカフェ アースのおみせ,シマリス専門の動物カフェです。JR亀戸駅から1分の場所にあります,5,10,東京都江東区亀戸６丁目５７−２２ 平塚ビル 301,139.8285036,35.69692949999999,03-5875-2330,月曜日: 定休日. 火曜日: 定休日. 水曜日: 10時00分～19時00分. 木曜日: 10時00分～19時00分. 金曜日: 10時00分～19時00分. 土曜日: 10時00分～19時00分. 日曜日: 10時00分～19時00分,https://chipmunk-cafe.com/,13,78,recommend
Moff animal Cafeイーアス高尾店,全国で数店舗展開している動物カフェです。ふれあえる動物は店舗によって違うようです。,"2,6,10,20",10,東京都八王子市東浅川町５５０−１,139.2906386,35.6433767,042-673-7680,月曜日: 10時00分～20時00分. 火曜日: 10時00分～20時00分. 水曜日: 10時00分～20時00分. 木曜日: 10時00分～20時00分. 金曜日: 10時00分～20時00分. 土曜日: 10時00分～20時00分. 日曜日: 10時00分～20時00分,https://moff-cafe.jp/shopinfo,13,79,
Moff animal cafe グランベリーパーク店,全国で数店舗展開している動物カフェです。ふれあえる動物は店舗によって違うようです。,2,10,東京都町田市鶴間３丁目４−１ グランベリーパーク 3F,139.4707901,35.50924699999999,042-850-7636,月曜日: 10時00分～20時00分. 火曜日: 10時00分～20時00分. 水曜日: 10時00分～20時00分. 木曜日: 10時00分～20時00分. 金曜日: 10時00分～20時00分. 土曜日: 10時00分～20時00分. 日曜日: 10時00分～20時00分,http://moff-cafe.jp/shopinfo#gb-park,13,80,
ねこCAFE MOFF,ヨドバシカメラ内にある猫カフェです,2,4,東京都千代田区神田花岡町1-1 ヨドバシAkiba1階,139.774548,35.6985781,03-6206-0338,月曜日: 10時00分～20時00分. 火曜日: 10時00分～20時00分. 水曜日: 10時00分～20時00分. 木曜日: 10時00分～20時00分. 金曜日: 10時00分～20時00分. 土曜日: 10時00分～20時00分. 日曜日: 10時00分～20時00分,https://moff-moff.jp/,13,81,
マイクロティーカップカフェ(Micro Tea Cup Cafe),たくさんのわんちゃんとふれあえるドッグカフェです。複数のテレビに出演しているようです。,1,5,東京都千代田区外神田３丁目２−１１ 巴ビル 四階,139.7703056,35.7004039,03-3525-4833,月曜日: 定休日. 火曜日: 11時00分～20時00分. 水曜日: 11時00分～20時00分. 木曜日: 11時00分～20時00分. 金曜日: 11時00分～20時00分. 土曜日: 11時00分～20時00分. 日曜日: 11時00分～20時00分,https://teacup.crayonsite.net/,13,82,recommend
猫のいる休憩室 谷保ねこ,きれいな店内の猫カフェです。,2,4,東京都国立市富士見台１丁目１０−１５,139.4479639,35.6828956,042-848-9431,月曜日: 12時00分～20時00分. 火曜日: 12時00分～20時00分. 水曜日: 12時00分～20時00分. 木曜日: 12時00分～20時00分. 金曜日: 12時00分～20時00分. 土曜日: 10時00分～20時00分. 日曜日: 10時00分～20時00分,http://www.yahoneko.com/,13,83,
ふくろうの里 原宿店,原宿駅から徒歩1分のフクロウカフェです。フクロウに配慮された店内でまったりくつろぐこともできます。,10,7,東京都渋谷区神宮前１丁目２１−１５ 原宿ATMビル4F,139.7035005,35.6722299,03-6455-5081,月曜日: 12時00分～18時00分. 火曜日: 12時00分～18時00分. 水曜日: 12時00分～18時00分. 木曜日: 12時00分～18時00分. 金曜日: 12時00分～18時00分. 土曜日: 12時00分～18時00分. 日曜日: 12時00分～18時00分,https://www.owlvillage.jp/harajuku.html,13,84,recommend
カフェ・ミニヨン(cafe mignon),吉祥寺駅から徒歩3分のウサギカフェです。カフェスペースとウサギとふれあうスペースが分かれていてどちらかの利用でも大丈夫なようです。,3,10,東京都武蔵野市吉祥寺南町１丁目１１−２,139.577664,35.70267,0422-26-7972,月曜日: 13時00分～18時00分. 火曜日: 定休日. 水曜日: 13時00分～18時00分. 木曜日: 13時00分～18時00分. 金曜日: 13時00分～18時00分. 土曜日: 11時30分～18時00分. 日曜日: 11時30分～18時00分,https://www.392mig.com/,13,85,
はちゅカフェ,吉祥寺の中道通りにある爬虫類カフェです。ヘビやイグアナ、カメなどとふれあうことができます。,"18,19,20",9,"東京都武蔵野市吉祥寺本町４丁目６−３ starlight,starbright Bldg. 2F-B",139.5732488,35.7051403,0422-27-6798,月曜日: 12時00分～18時00分. 火曜日: 12時00分～18時00分. 水曜日: 定休日. 木曜日: 12時00分～18時00分. 金曜日: 12時00分～18時00分. 土曜日: 12時00分～19時00分. 日曜日: 12時00分～19時00分,http://turboreptiles.co.jp/,13,86,recommend
ペンギンのいるダイニング,店内に大きな水槽があり、ペンギンを見ながら食事を楽しむことができる飲食店です。1日に数回ペンギンに餌をあげるイベントがあるようです。,22,10,東京都武蔵野市吉祥寺本町１丁目１２−１３ センチュリーホーム吉祥寺ビル B1,139.581121,35.7053605,0422-27-5444,月曜日: 11時00分～27時00分. 火曜日: 11時00分～27時00分. 水曜日: 11時00分～27時00分. 木曜日: 11時00分～27時00分. 金曜日: 11時00分～27時00分. 土曜日: 11時00分～27時00分. 日曜日: 11時00分～27時00分,https://penguinbar.jp/,13,87,
あんじゅとあんじゅーる,小型犬とふれあえるドッグカフェです。４階の「猫とフクロウのカフェ あんじゅ」では猫とフクロウとふれあうことができます。※ドッグカフェとは別料金となっています,"1,2,10","1,2,7",東京都江東区白河３丁目５−５,139.8049649,35.68224529999999,03-6458-5067,月曜日: 12時00分～18時00分. 火曜日: 12時00分～18時00分. 水曜日: 12時00分～18時00分. 木曜日: 12時00分～18時00分. 金曜日: 12時00分～18時00分. 土曜日: 12時00分～18時00分. 日曜日: 12時00分～18時00分,https://www.bizserver1.com/unje_unjour/contents1.html,13,88,
ハリネズミパラダイス 秋葉原店,ハリネズミの他にウサギや猫とふれあうことができます,"2,3,6","6,10",東京都千代田区外神田４丁目４−１０ ２F,139.7718912,35.7010606,03-6271-7930,月曜日: 11時00分～20時00分. 火曜日: 11時00分～20時00分. 水曜日: 11時00分～20時00分. 木曜日: 11時00分～20時00分. 金曜日: 11時00分～20時00分. 土曜日: 10時00分～20時00分. 日曜日: 10時00分～20時00分,http://hari-para.com/,13,89,
温もりカフェ,保護犬とふれあうことができます。落ち着く雰囲気の施設で、Googleの口コミではオーナーさんの人柄の評判がよくおすすめです。,1,5,東京都墨田区向島３丁目２−５ 向島パークハイツ第２ 104号,139.8071673,35.7136978,080-2382-4693,月曜日: 10時00分～19時00分. 火曜日: 定休日. 水曜日: 10時00分～19時00分. 木曜日: 10時00分～19時00分. 金曜日: 10時00分～19時00分. 土曜日: 10時00分～19時00分. 日曜日: 10時00分～19時00分,https://oncafe2019.jimdofree.com/,13,90,
くにたち はたけんぼ,農家、市民、国立市が運営するコミュニティーで、ヒツジやウマとふれあうことができます。他にも農体験や田植え体験などたくさんの行事やイベントを行なっているようです。,"12,13","1,3",東京都国立市谷保６６１,139.444588,35.67698499999999,042-505-7200,ホームページをご覧ください,http://hatakenbo.org/,13,91,recommend
八丈島 ふれあい牧場,ふれあい牧場は、八丈富士の中腹に位置する畜産振興のための牧場です。牛を見ながら八丈島の自然を満喫できます。広い敷地に放牧されているため、牛が近くにいない場合もあります。,11,3,東京都八丈町大賀郷５６２７−１,139.767219,33.1313287,0499-62-1125,月曜日: 9時30分～16時00分. 火曜日: 9時30分～16時00分. 水曜日: 9時30分～16時00分. 木曜日: 9時30分～16時00分. 金曜日: 9時30分～16時00分. 土曜日: 9時30分～16時00分. 日曜日: 9時30分～16時00分,https://www.town.hachijo.tokyo.jp/kakuka/sankan/sankan_fureai.html,13,92,
mipig cafe 原宿店,マイクロブタカフェ「mipig cafe」の原宿店です。原宿駅から徒歩5分の場所にあります。,15,10,東京都渋谷区神宮前１丁目１５−４ Barbizon76,139.7042806,35.6709916,03-6384-5899,月曜日: 10時00分～20時00分. 火曜日: 10時00分～20時00分. 水曜日: 10時00分～20時00分. 木曜日: 10時00分～20時00分. 金曜日: 10時00分～20時00分. 土曜日: 10時00分～20時00分. 日曜日: 10時00分～20時00分,https://mipig.cafe/,13,93,
